id,context,en
entity.alliance_destroyer.station.engineering.tutorial.damage.title,assets/entities/alliance_destroyer.toml → [station.tutorial] title — hull-damage contextual tip heading,HULL DAMAGE
entity.alliance_destroyer.station.engineering.tutorial.damage.text,assets/entities/alliance_destroyer.toml → [station.tutorial] text — hull-damage contextual tip body,[Something on the ship just took a hit. Check which system is hurting and get a repair team moving before it fails outright.]
entity.depot_transfer.name,assets/entities/depot_transfer.toml -> name (top level),[Transfer Depot]
entity.depot_transfer.target.description,assets/entities/depot_transfer.toml -> [target] description,[Orbital transfer depot]
entity.moon_ice.name,assets/entities/moon_ice.toml → name (top level),Ice Moon
entity.moon_ice.target.description,assets/entities/moon_ice.toml → [target] description,[A frozen cryovolcanic moon]
entity.moon_luna.name,assets/entities/moon_luna.toml → name (top level),Luna
entity.moon_luna.target.description,assets/entities/moon_luna.toml → [target] description,[A cratered rocky moon]
entity.planet_earth.name,assets/entities/planet_earth.toml → name (top level),Earth
entity.planet_earth.target.description,assets/entities/planet_earth.toml → [target] description,Earth
entity.planet_ecumenopolis.name,assets/entities/planet_ecumenopolis.toml → name (top level),Ecumenopolis
entity.planet_ecumenopolis.target.description,assets/entities/planet_ecumenopolis.toml → [target] description,[A world-spanning city]
entity.planet_gas_giant.name,assets/entities/planet_gas_giant.toml → name (top level),Gas Giant
entity.planet_gas_giant.target.description,assets/entities/planet_gas_giant.toml → [target] description,[A banded gas giant]
entity.planet_lava.name,assets/entities/planet_lava.toml → name (top level),Lava Planet
entity.planet_lava.target.description,assets/entities/planet_lava.toml → [target] description,[A volcanic hellscape]
entity.region_nebula.name,assets/entities/region_nebula.toml → name (top level),Nebula
entity.region_nebula.target.description,assets/entities/region_nebula.toml → [target] description,Nebula region
entity.rng_coverage_lancer.name,assets/entities/test/rng_coverage_lancer.toml → name (top level),RNG-coverage Escort
entity.rng_coverage_lancer.target.description,assets/entities/test/rng_coverage_lancer.toml → [target] description,RNG-coverage escort
entity.rng_coverage_lancer.behaviour.doctrine.destroy_hostiles.text,assets/entities/test/rng_coverage_lancer.toml → [behaviour.doctrine] text,[Engage and destroy hostile ships]
entity.rng_coverage_lancer.station.captain.description,assets/entities/test/rng_coverage_lancer.toml → [station] description,[Command the bridge and call Red Alert.]
entity.rng_coverage_lancer.station.helm.description,assets/entities/test/rng_coverage_lancer.toml → [station] description,[Pilot the ship.]
entity.rng_coverage_lancer.station.tactical.description,assets/entities/test/rng_coverage_lancer.toml → [station] description,[Run the ship's weapons.]
entity.rng_coverage_lancer.station.engineering.description,assets/entities/test/rng_coverage_lancer.toml → [station] description,[Manage reactor power.]
entity.ship_harrow_destroyer.name,assets/entities/ship_harrow_destroyer.toml → name (top level),Harrow Destroyer
entity.ship_harrow_destroyer.target.description,assets/entities/ship_harrow_destroyer.toml → [target] description,[Harrow Destroyer interceptor]
entity.ship_harrow_destroyer.behaviour.doctrine.destroy_hostiles.text,assets/entities/ship_harrow_destroyer.toml → [behaviour.doctrine] text,[Run attack passes on hostile ships]
entity.ship_harrow_destroyer.station.captain.description,assets/entities/ship_harrow_destroyer.toml → [station] description,[Command the bridge and call Red Alert.]
entity.ship_harrow_destroyer.station.helm.description,assets/entities/ship_harrow_destroyer.toml → [station] description,[Pilot the ship.]
entity.ship_harrow_destroyer.station.tactical.description,assets/entities/ship_harrow_destroyer.toml → [station] description,[Run the ship's weapons.]
entity.ship_harrow_destroyer.station.engineering.description,assets/entities/ship_harrow_destroyer.toml → [station] description,[Manage reactor power.]
entity.ship_harrow_cruiser.name,assets/entities/ship_harrow_cruiser.toml → name (top level),Harrow Cruiser
entity.ship_harrow_cruiser.target.description,assets/entities/ship_harrow_cruiser.toml → [target] description,[Harrow Cruiser broadside]
entity.ship_harrow_cruiser.behaviour.doctrine.destroy_hostiles.text,assets/entities/ship_harrow_cruiser.toml → [behaviour.doctrine] text,[Circle hostile ships and hold the broadside]
entity.ship_harrow_cruiser.station.captain.description,assets/entities/ship_harrow_cruiser.toml → [station] description,[Command the bridge and call Red Alert.]
entity.ship_harrow_cruiser.station.helm.description,assets/entities/ship_harrow_cruiser.toml → [station] description,[Pilot the ship.]
entity.ship_harrow_cruiser.station.tactical.description,assets/entities/ship_harrow_cruiser.toml → [station] description,[Run the ship's weapons.]
entity.ship_harrow_cruiser.station.engineering.description,assets/entities/ship_harrow_cruiser.toml → [station] description,[Manage reactor power.]
entity.ship_harrow_patrol.name,assets/entities/ship_harrow_patrol.toml → name (top level),[Harrow Patrol Cruiser]
entity.ship_harrow_patrol.target.description,assets/entities/ship_harrow_patrol.toml → [target] description,[Harrow Patrol Cruiser]
entity.ship_harrow_patrol.behaviour.doctrine.patrol_ironveil.text,assets/entities/ship_harrow_patrol.toml → [behaviour.doctrine] text,[Hold the picket line]
entity.ship_harrow_patrol.behaviour.doctrine.destroy_hostiles.text,assets/entities/ship_harrow_patrol.toml → [behaviour.doctrine] text,[Engage and destroy hostile ships]
entity.ship_harrow_patrol.station.captain.description,assets/entities/ship_harrow_patrol.toml → [station] description,[Command the bridge and call Red Alert.]
entity.ship_harrow_patrol.station.helm.description,assets/entities/ship_harrow_patrol.toml → [station] description,[Pilot the ship.]
entity.ship_harrow_patrol.station.tactical.description,assets/entities/ship_harrow_patrol.toml → [station] description,[Run the ship's weapons.]
entity.ship_harrow_patrol.station.engineering.description,assets/entities/ship_harrow_patrol.toml → [station] description,[Manage reactor power.]
entity.ship_harrow_warhawk.name,assets/entities/ship_harrow_warhawk.toml → name (top level),Harrow Battleship
entity.ship_harrow_warhawk.target.description,assets/entities/ship_harrow_warhawk.toml → [target] description,Harrow Battleship
entity.ship_harrow_warhawk.behaviour.doctrine.patrol_warhawk.text,assets/entities/ship_harrow_warhawk.toml → [behaviour.doctrine] text,[Patrol the sector]
entity.ship_harrow_warhawk.behaviour.doctrine.destroy_hostiles.text,assets/entities/ship_harrow_warhawk.toml → [behaviour.doctrine] text,[Engage and destroy hostile ships]
entity.ship_harrow_warhawk.station.captain.description,assets/entities/ship_harrow_warhawk.toml → [station] description,[Command the bridge and call Red Alert.]
entity.ship_harrow_warhawk.station.helm.description,assets/entities/ship_harrow_warhawk.toml → [station] description,[Pilot the ship.]
entity.ship_harrow_warhawk.station.tactical.description,assets/entities/ship_harrow_warhawk.toml → [station] description,[Run the ship's weapons.]
entity.ship_harrow_warhawk.station.engineering.description,assets/entities/ship_harrow_warhawk.toml → [station] description,[Manage reactor power.]
entity.ship_requiem_courier.name,assets/entities/ship_requiem_courier.toml → name (top level),Requiem Courier
entity.ship_requiem_courier.target.description,assets/entities/ship_requiem_courier.toml → [target] description,Requiem Courier
entity.ship_requiem_courier.behaviour.doctrine.reach_destination.text,assets/entities/ship_requiem_courier.toml → [behaviour.doctrine] text,[Proceed to destination]
entity.ship_requiem_courier.station.captain.description,assets/entities/ship_requiem_courier.toml → [station] description,[Command the courier and manage its support systems.]
entity.ship_requiem_courier.station.tactical.description,assets/entities/ship_requiem_courier.toml → [station] description,[Fly the courier and track contacts.]
entity.star_sun.name,assets/entities/star_sun.toml → name (top level),Sun
entity.star_sun.target.description,assets/entities/star_sun.toml → [target] description,Sun
entity.station_axiom.name,assets/entities/station_axiom.toml → name (top level),Axiom Station
entity.station_axiom.target.description,assets/entities/station_axiom.toml → [target] description,Axiom Station
entity.station_outpost.name,assets/entities/station_outpost.toml → name (top level),Outpost Alpha
entity.station_outpost.target.description,assets/entities/station_outpost.toml → [target] description,Outpost Alpha
entity.station_research_outpost.name,assets/entities/station_research_outpost.toml → name (top level),Research Outpost
entity.station_research_outpost.target.description,assets/entities/station_research_outpost.toml → [target] description,Research Outpost
world.combat_test.global.title,assets/worlds/combat_test.toml → [global] title,[Combat Test: Defend Starbase Alpha]
world.combat_test.global.description,assets/worlds/combat_test.toml → [global] description,"[Eight waves of Harrow attackers, launched on a clock and all of them aimed at Starbase Alpha. They will not wait for you.]"
world.entity.earth.name,assets/worlds/combat_test.toml → [entity] name (entity display name; also the cross-reference key),earth
world.entity.gas_giant.name,assets/worlds/combat_test.toml → [entity] name (entity display name; also the cross-reference key),Gas Giant
world.entity.ice_moon.name,assets/worlds/combat_test.toml → [entity] name (entity display name; also the cross-reference key),Ice Moon
world.combat_test.available_ships.0.label,assets/worlds/combat_test.toml → [available_ships] label,Alliance Destroyer
world.combat_test.available_ships.1.label,assets/worlds/combat_test.toml → [available_ships] label,Alliance Cruiser
world.combat_test.available_ships.2.label,assets/worlds/combat_test.toml → [available_ships] label,Alliance Battleship
world.combat_test.available_ships.3.label,assets/worlds/combat_test.toml → [available_ships] label,Alliance Courier
world.entity.skyhook_depot.name,assets/worlds/probe_infrastructure.toml -> [[entity]] name,[Skyhook Depot]
world.entity.starbase_alpha.name,assets/worlds/combat_test.toml → [entity] name (entity display name; also the cross-reference key),Starbase Alpha
world.combat_test.trigger.action.obj_destroy_wave_1.text,assets/worlds/combat_test.toml → [trigger.action] text,[Destroy wave 1: Harrow cruiser.]
world.combat_test.trigger.action.obj_destroy_wave_2.text,assets/worlds/combat_test.toml → [trigger.action] text,[Destroy wave 2: Harrow destroyer.]
world.combat_test.trigger.action.obj_destroy_wave_3.text,assets/worlds/combat_test.toml → [trigger.action] text,[Destroy wave 3: Harrow cruiser.]
world.combat_test.trigger.action.obj_destroy_wave_4.text,assets/worlds/combat_test.toml → [trigger.action] text,[Destroy wave 4: Harrow destroyer.]
world.combat_test.trigger.action.obj_destroy_wave_5.text,assets/worlds/combat_test.toml → [trigger.action] text,[Destroy wave 5: two Harrow cruisers.]
world.combat_test.trigger.action.obj_destroy_wave_6.text,assets/worlds/combat_test.toml → [trigger.action] text,[Destroy wave 6: two Harrow destroyers.]
world.combat_test.trigger.action.obj_destroy_wave_7.text,assets/worlds/combat_test.toml → [trigger.action] text,[Destroy wave 7: Harrow cruiser and destroyer.]
world.combat_test.trigger.action.obj_destroy_wave_8.text,assets/worlds/combat_test.toml → [trigger.action] text,[Destroy wave 8: Harrow patrol cruiser.]
world.combat_test.trigger.action.18.message,assets/worlds/combat_test.toml → [trigger.action] message,[VICTORY: all eight waves broken. Starbase Alpha holds.]
world.combat_test.trigger.action.21.message,assets/worlds/combat_test.toml → [trigger.action] message,[DEFEAT: Starbase Alpha lost. The Harrow strike fleet has secured the system.]
world.combat_test.trigger.action.obj_defend.text,assets/worlds/combat_test.toml → [trigger.action] text,[Defend Starbase Alpha against the incoming Harrow fleet.]
world.combat_test.comms.0.message,assets/worlds/combat_test.toml → [comms] message,"[Starbase Alpha to USS Phoenix: a Harrow strike fleet is inbound. Eight waves, mixed class, all running on this station. Hold the line.]"
world.combat_test.comms.1.message,assets/worlds/combat_test.toml → [comms] message,[Starbase Alpha: wave one has launched north-northwest. Harrow cruiser inbound.]
world.combat_test.comms.2.message,assets/worlds/combat_test.toml → [comms] message,[Starbase Alpha: wave two has launched southeast. Harrow destroyer inbound.]
world.combat_test.comms.3.message,assets/worlds/combat_test.toml → [comms] message,[Starbase Alpha: wave three has launched due east. Harrow cruiser inbound.]
world.combat_test.comms.4.message,assets/worlds/combat_test.toml → [comms] message,[Starbase Alpha: wave four has launched northeast. Harrow destroyer inbound.]
world.combat_test.comms.5.message,assets/worlds/combat_test.toml → [comms] message,[Starbase Alpha: wave five has launched. Two Harrow cruisers inbound from east and east-northeast.]
world.combat_test.comms.6.message,assets/worlds/combat_test.toml → [comms] message,[Starbase Alpha: wave six has launched. Two Harrow destroyers inbound from north and south.]
world.combat_test.comms.7.message,assets/worlds/combat_test.toml → [comms] message,[Starbase Alpha: wave seven has launched east. Harrow cruiser and destroyer inbound.]
world.combat_test.comms.8.message,assets/worlds/combat_test.toml → [comms] message,[Starbase Alpha: final wave has launched due east. Ironveil-class patrol cruiser inbound.]
world.combat_test.comms.9.message,assets/worlds/combat_test.toml → [comms] message,[Starbase Alpha: hull integrity below 75 percent. Defensive support requested.]
world.combat_test.comms.10.message,assets/worlds/combat_test.toml → [comms] message,[Starbase Alpha: hull integrity below 50 percent. We need immediate support.]
world.combat_test.comms.11.message,assets/worlds/combat_test.toml → [comms] message,"[Starbase Alpha: critical hull integrity below 10 percent. Phoenix, defend the station.]"
